"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.09.2025","0,00063","0,00064","0,00064","0,00062","","-1,09%"
"01.08.2025","0,00064","0,00064","0,00067","0,00063","","0,00%"
"01.07.2025","0,00064","0,00071","0,00072","0,00064","","-9,86%"
"01.06.2025","0,00071","0,00074","0,00077","0,00071","","-4,05%"
"01.05.2025","0,00074","0,00075","0,00081","0,00073","","-1,33%"
"01.04.2025","0,00075","0,00086","0,00087","0,00073","","-12,79%"
"01.03.2025","0,00086","0,00091","0,00091","0,00086","","-5,49%"
"01.02.2025","0,00091","0,00093","0,00093","0,00090","","-1,09%"
"01.01.2025","0,00092","0,00094","0,00095","0,00090","","-2,13%"
"01.12.2024","0,00094","0,00094","0,00095","0,00093","","0,00%"
"01.11.2024","0,00094","0,00093","0,00096","0,00092","","1,08%"
"01.10.2024","0,00093","0,00093","0,00094","0,00093","","0,00%"
"01.09.2024","0,00093","0,00095","0,00095","0,00092","","-2,11%"
"01.08.2024","0,00095","0,00099","0,00100","0,00094","","-4,04%"
"01.07.2024","0,00099","0,00102","0,00102","0,00099","","-2,94%"
"01.06.2024","0,00102","0,00103","0,00104","0,00102","","-0,97%"
"01.05.2024","0,00103","0,00107","0,00107","0,00103","","-3,74%"
"01.04.2024","0,00107","0,00108","0,00109","0,00106","","-0,93%"
"01.03.2024","0,00108","0,00110","0,00110","0,00107","","-1,82%"
"01.02.2024","0,00110","0,00112","0,00112","0,00109","","-1,79%"
"01.01.2024","0,00112","0,00112","0,00113","0,00111","","0,00%"
"01.12.2023","0,00112","0,00255","0,00256","0,00111","","-56,08%"
"01.11.2023","0,00255","0,00270","0,00272","0,00252","","-5,56%"
"01.10.2023","0,00270","0,00270","0,00273","0,00267","","0,00%"
"01.09.2023","0,00270","0,00264","0,00273","0,00262","","2,66%"
"01.08.2023","0,00263","0,00330","0,00332","0,00261","","-20,30%"
"01.07.2023","0,00330","0,00357","0,00358","0,00329","","-7,56%"
